"","titulo","link","desc","data","categoria_principal"
"18","PetrÛleo fecha em alta de mais de 1%, com risco sobre oferta","www.valor.com.br/financas/5858099/petroleo-fecha-em-alta-de-mais-de-1-com-risco-sobre-oferta","Contratos do Brent para novembro fecharam a terÁa em alta de 1,25%, a US$ 79,03 por barril; WTI para o mesmo mÍs avanÁaram 1,32%","18/09/2018 ‡s 17h30","alta"
"19","Sapore tentar voltar ‡ mesa de negociaÁıes com IMC","www.valor.com.br/empresas/5857869/sapore-tentar-voltar-mesa-de-negociacoes-com-imc","Controlador da Sapore, Daniel Mendez, n„o desistiu do negÛcio, mas nega que j· existam discussıes com o fundo Kinea nesse sentido","18/09/2018 ‡s 16h32","sapor"
"20","Ibovespa sobe com cen·rio externo positivo","www.valor.com.br/financas/5857303/ibovespa-sobe-com-cenario-externo-positivo","Mercados globais n„o deram sinais de turbulÍncia ante as novas taxas de importaÁ„o para produtos chineses anunciada pelos EUA","18/09/2018 ‡s 13h41","mercado"
"21","Bolsas da Europa fecham na maioria em alta, com tensıes EUA-China","www.valor.com.br/financas/5857293/bolsas-da-europa-fecham-na-maioria-em-alta-com-tensoes-eua-china","Apesar da nova sobretaxa sobre US$ 200 bi de produtos chineses, o governo dos EUA adotou alÌquota de 10% e n„o de 25%, proporcionando alÌvio","18/09/2018 ‡s 13h39","alta, bolsa, euachina, europa, fecham, maioria, tenso, adotou, aliquota, alivio, apesar, chines, eua, governo, nova, produto, proporcionando, sobr, sobretaxa, mercado"
"22","Cielo lanÁa maquininha de cart„o integrada a smartphone","www.valor.com.br/financas/5857245/cielo-lanca-maquininha-de-cartao-integrada-smartphone","Batizado de Lio+, o terminal funcionar· com chips de todas as operadoras de celular","18/09/2018 ‡s 13h32","cartao, cielo, integrada, lanca, maquininha, smartphon, batizado, celular, chip, funcionara, lio, operadora, termin, toda, carto"
"23","Para BB, uso de banco para fomentar crÈdito tem de respeitar regras","www.valor.com.br/financas/5857193/para-bb-uso-de-banco-para-fomentar-credito-tem-de-respeitar-regras","Segundo executivo da instituiÁ„o, qualquer implementaÁ„o depende de uma decis„o do prÛprio banco e do BC, alÈm de respeitar a governanÁa","18/09/2018 ‡s 13h09","banco, respeitar"
"24","Fonte diz que Facebook procura bancos para acessar clientes; cia nega","www.valor.com.br/empresas/5857085/fonte-diz-que-facebook-procura-bancos-para-acessar-clientes-cia-nega","Pelo menos uma grande instituiÁ„o americana j· rejeitou as negociaÁıes, segundo fontes","18/09/2018 ‡s 12h40","font"
"25","Ibovespa sobe com exterior positivo e com ajuda de Vale e Petrobras","www.valor.com.br/financas/5857027/ibovespa-sobe-com-exterior-positivo-e-com-ajuda-de-vale-e-petrobras","AlÈm do bom desempenho dos mercados acion·rios globais, investidores consideram a valorizaÁ„o das commodities","18/09/2018 ‡s 12h22","mercado"
"26","China est· redirecionando investimentos dos EUA para a Europa","www.valor.com.br/internacional/5856957/china-esta-redirecionando-investimentos-dos-eua-para-europa","Outras disputas econÙmicas est„o ocorrendo de maneira menos aparente e empurrando a China a investir na Europa, dizem analistas","18/09/2018 ‡s 12h06","china, europa"
"27","N˙mero de inadimplentes recua em agosto, aponta Serasa","www.valor.com.br/brasil/5856821/numero-de-inadimplentes-recua-em-agosto-aponta-serasa","O montante de dÌvidas em agosto atingiu R$ 274 bilhıes, com mÈdia de quatro dÌvidas por CPF, totalizando R$ 4.453 por pessoa","18/09/2018 ‡s 11h37","agosto, divida"
"28","Cielo lanÁa sistema de pagamentos por QR Code para smartphones","www.valor.com.br/financas/5856783/cielo-lanca-sistema-de-pagamentos-por-qr-code-para-smartphones","Cerca de 40 milhıes de clientes de instituiÁıes parceiras j· est„o aptos a usar a soluÁ„o","18/09/2018 ‡s 11h28","cielo, code, lanca, pagamento, sistema, smartphon, apto, cerca, client, estao, instituico, milho, parceira, solucao, usar, carto"
"29","BNDES lanÁa edital para fundo de R$ 500 milhıes em infraestrutura","www.valor.com.br/financas/5856781/bndes-lanca-edital-para-fundo-de-r-500-milhoes-em-infraestrutura","Banco espera aumentar a base de investidores e incrementar a liquidez de tÌtulos do setor, bem como securitizar parte de sua carteira","18/09/2018 ‡s 11h28","bndes, edit, fundo, infraestrutura, lanca, milho, aumentar, banco, base, bem, carteira, espera, incrementar, investidor, liquidez, part, securitizar, setor, titulo, financa"
"30","DÛlar opera perto da estabilidade e È cotado na casa de R$ 4,13","www.valor.com.br/financas/5856471/dolar-opera-perto-da-estabilidade-e-e-cotado-na-casa-de-r-413","Acirramento da disputa comercial entre China e EUA e corrida eleitoral brasileira dividem atenÁıes dos investidores","18/09/2018 ‡s 10h28","casa, cotado, dolar, estabilidad, opera, perto, acirramento, atenco, brasileira, china, comerci, corrida, disputa, dividem, eleitor, eua, investidor, mercado"
"31","Fonte diz que Facebook procura bancos para acessar clientes; cia nega","www.valor.com.br/empresas/5857085/fonte-diz-que-facebook-procura-bancos-para-acessar-clientes-cia-nega","Pelo menos uma grande instituiÁ„o americana j· rejeitou as negociaÁıes, segundo fontes","18/09/2018 ‡s 12h40","font"
"32","Ibovespa sobe com exterior positivo e com ajuda de Vale e Petrobras","www.valor.com.br/financas/5857027/ibovespa-sobe-com-exterior-positivo-e-com-ajuda-de-vale-e-petrobras","AlÈm do bom desempenho dos mercados acion·rios globais, investidores consideram a valorizaÁ„o das commodities","18/09/2018 ‡s 12h22","mercado"
"33","China est· redirecionando investimentos dos EUA para a Europa","www.valor.com.br/internacional/5856957/china-esta-redirecionando-investimentos-dos-eua-para-europa","Outras disputas econÙmicas est„o ocorrendo de maneira menos aparente e empurrando a China a investir na Europa, dizem analistas","18/09/2018 ‡s 12h06","china, europa"
"34","N˙mero de inadimplentes recua em agosto, aponta Serasa","www.valor.com.br/brasil/5856821/numero-de-inadimplentes-recua-em-agosto-aponta-serasa","O montante de dÌvidas em agosto atingiu R$ 274 bilhıes, com mÈdia de quatro dÌvidas por CPF, totalizando R$ 4.453 por pessoa","18/09/2018 ‡s 11h37","agosto, divida"
