"titulo","link","desc","data","categoria_principal"
"Dia dos Namorados: como comemorar sem se endividar?","http://www.dsop.com.br/para-voce/noticias/2018/06/dia-dos-namorados-endividar/","Hoje, dia 12 de junho, é Dia dos Namorados, mas como comemorar e demonstrar sentimentos com um orçamento apertado? De acordo com o presidente da DSOP e PhD. em Educação Financeira, Reinaldo Domingos, é possível agradar sem comprometer as finanças. “É um engano pensar que o presente deve representar o sentimento; o amor é imensurável.… Leia mais",2018-06-12 12:56:59,"dia, comemorar, namorado, sentimento, endividar, acordo, agradar, amor, apertado, compromet, demonstrar, deve, domingo, dsop, educacao, engano, financa, financeira, hoje, imensuravelâ€, junho, leia, orcamento, pensar, phd, possivel, present, president, reinaldo, representar, â€œ, noticia, voce"
"Abefin chega a Macapá (AP) e promete revolucionar o Estado com Educação Financeira","http://www.dsop.com.br/para-voce/noticias/2018/06/abefin-macapa/","O presidente da Associação Brasileira dos Educadores Financeiros (Abefin), Reinaldo Domingos, esteve em Macapá (AP), onde lançou na última sexta-feira (08/06) a Abefin na capital amapaense. Reinaldo Domingos e a vice-presidente da Abefin Macapá, Andrea Saraiva Segundo Domingos, este momento é bastante especial para o Estado. “Não só Macapá, mas todo o Estado do Amapá… Leia mais",2018-06-08 11:25:45,"abefin, macapa, estado, domingo, reinaldo"
"Alta do dólar: o impacto no bolso dos brasileiros","http://www.dsop.com.br/para-voce/noticias/2018/06/alta-do-dolar-impacto/","O dólar continua oscilando e segue em níveis elevados. Nesta quarta-feira, a cotação abriu em alta e chegou a atingir os R$ 3,83. Diante desse cenário, qualquer previsão a ser feita para os próximos meses, até o período das eleições, será uma mera especulação, isso porque atravessamos uma crise financeira, política e, mais recentemente, uma… Leia mais",2018-06-06 18:15:54,"alta, dolar, bolso, brasileiro, impacto, abriu, ate, atingir, atravessamo, cenario, chegou, continua, cotacao, crise, dess, diant, eleico, elevado, especulacao, feita, financeira, leia, mera, mese, nesta, nivei, oscilando, periodo, politica, porqu, previsao, proximo, qualquer, quartafeira, recentement, segu, ser, sera, noticia, voce"
"Crise dos combustíveis: confira orientações para economizar","http://www.dsop.com.br/para-voce/noticias/2018/05/crise-dos-combustiveis-economizar/","A crise dos combustíveis vem ocasionando um verdadeiro caos: o Brasil amanheceu na última quinta-feira (24) com uma verdadeira corrida aos postos de gasolina. A greve dos caminhoneiros vem ocasionando o medo de desabastecimento. Acontece que muitos proprietários desses estabelecimentos estão aproveitando para elevar o preço desse produto que para muitos é imprescindível. Existem casos que… Leia mais",2018-05-28 10:08:57,"combustivei, crise, dess, muito, ocasionando, vem"
"REALIZAR os SONHOS – Você PODE!!!","http://www.dsop.com.br/para-voce/noticias/2018/05/realizar-os-sonhos/","Sempre que falamos sobre sonhos parece que são objetivos inalcançáveis, abstratos. Mas esse pensamento precisa mudar. Afinal, são eles que nos movem e nos motivam, certo? Em seu mais novo vídeo do canal Dinheiro à Vista, o presidente da DSOP e PhD. em Educação Financeira Reinaldo Domingos fala sobre a importância de sonhar, com o objetivo… Leia mais",2018-05-24 10:53:33,"sonho, voce, objetivo, sao, sobr"
"Educação Financeira – Veja seis pontos para pensar antes de uma compra","http://www.dsop.com.br/para-voce/noticias/2018/05/educacao-financeira-compra/","Antes de fazer qualquer compra é importante considerar possibilidades, como pedir emprestado à um familiar ou vizinho, trocar algo que usa pouco pelo que deseja no momento e, também, restaurar o que já tem em casa. “O hábito de comprar sem antes pensar em alternativas prejudica o equilíbrio financeiro das famílias brasileiras. Muito pode ser… Leia mais",2018-05-21 14:33:44,"ant, compra, pensar, educacao, financeira, ponto, sei, veja, algo, alternativa, brasileira, casa, comprar, considerar, deseja, emprestado, equilibrio, familia, familiar, fazer, financeiro, habito, important, momento, pedir, pode, possibilidad, pouco, prejudica, qualquer, restaurar, ser, tambem, trocar, usa, vizinho, â€œ, noticia, voce"
"Dia das Mães – confira oito orientações para comprar presentes sem crise","http://www.dsop.com.br/para-voce/noticias/2018/05/dia-das-maes-orientacoes-compras/","O Dia das Mães, que nesse ano será comemorado em 13 de maio, sempre é sinônimo de compras, contudo, em função de dificuldades financeiras os consumidores estão muito mais cautelosos, o que tem seu lado positivo, uma vez que o histórico das datas comemorativas é de endividamento por parte da população. É normal que os… Leia mais",2018-05-03 10:41:55,"dia, mae, comprar, confira, crise, oito, orientaco, present, ano, cauteloso, comemorado, comemorativa, compra, consumidor, contudo, data, dificuldad, endividamento, estao, financeira, funcao, historico, lado, leia, maio, ness, normal, part, populacao, positivo, sempr, sera, sinonimo, vez, noticia, voce"
"Nova mudanças no pagamento do cartão de crédito: veja orientações para o consumidor","http://www.dsop.com.br/para-voce/noticias/2018/04/mudancas-pagamento-cartao-de-credito/","O Conselho Monetário Nacional (CMN) anunciou recentemente novas regras para o uso do rotativo do cartão de crédito que deverão entrar em vigor em 1º de julho. Entre as mudanças o destaque está para a limitação dos juros em atrasos e parcelamentos das contas no cartão que deverão seguir as existentes no contrato de crédito… Leia mais",2018-04-30 12:07:56,"cartao, credito, mudanca, nova, deverao"
"Bancos já oferecem antecipação da restituição de IR: vale a pena?","http://www.dsop.com.br/para-voce/noticias/2018/04/antecipacao-da-restituicao-ir/","Já está chegando ao fim o período de entrega da Declaração de Imposto de Renda Pessoa Física e se observa muitas instituições financeiras oferecendo os serviços de antecipação da restituição devida pelo governo aos contribuintes. Mas diante a uma necessidade financeira, será que realmente é correto e vale a pena antecipar? “Ao utilizar essa linha… Leia mais",2018-04-23 10:29:23,"antecipacao, pena, restituicao, vale, financeira"
"Cartão de crédito: confira 5 formas de obter vantagens com esta ferramenta","http://www.dsop.com.br/para-voce/noticias/2018/04/cartao-de-credito-vantagens/","A taxa de juros do rotativo do cartão de crédito para quem paga o valor mínimo da fatura em dia continua absurda, estando acima dos 200%. Isso faz com que essa ferramenta seja considerada por muitos um vilão. Contudo, isso não é uma verdade, havendo casos que o cartão de crédito pode ser um aliado… Leia mais",2018-04-05 12:32:19,"cartao, credito, ferramenta, confira, forma, obter, vantagen, absurda, acima, aliado, caso, considerada, continua, contudo, dia, estando, fatura, faz, havendo, juro, minimo, muito, paga, pode, rotativo, ser, taxa, valor, verdad, vilao, noticia, voce"
"Venda de veículos cresce 19,55% nos primeiro meses de 2018 – Hora de comprar?","http://www.dsop.com.br/para-voce/noticias/2018/04/venda-de-veiculos-cresce/","A venda de veículos em fevereiro deste ano cresceu 15,67% , na comparação com o mesmo mês do ano passado, segundo dados da Federação Nacional da Distribuição de Veículos Automotores (Fenabrave). Foram vendidos 156,9 mil unidades no mês passado, somando automóveis, comerciais leves, ônibus e caminhões. No total desses primeiros dos meses de 2018 o… Leia mais",2018-04-02 13:10:06,"veiculo, mese, primeiro, venda, ano, mes, passado"
"Taxa Selic em 6,5%: o que muda para o consumidor?","http://www.dsop.com.br/imprensa/releases/2018/03/taxa-selic-consumidor/","O Comitê de Política Monetária (Copom) do Banco Central anunciou na quarta-feira, 21 de março, o corte da Selic de 6,75% para 6,5% ano. Para população pode se dizer que a mudança gera impactos positivos e negativos. De um lado há a possibilidade de rever juros de financiamentos e de outro isso pode representar a… Leia mais",2018-03-23 11:54:40,"selic, pode, consumidor, muda, taxa, ano, anunciou, banco, central, comit, copom, cort, dizer, financiamento, gera, impacto, juro, lado, leia, marco, monetaria, mudanca, negativo, outro, politica, populacao, positivo, possibilidad, quartafeira, representar, rever, noticia, voce"
"Imposto de Renda – declaração de veículo tem novidades, saiba o que fazer!","http://www.dsop.com.br/para-voce/noticias/2018/03/imposto-de-renda-declaracao-veiculo/","Quem é obrigado a declarar imposto de renda pessoa física e possui veículos motorizados deve ficar atento para não esquecer de informar estes valores. Para não ter problema com estes dados, basta acessar a ficha “Bens e Direitos” do formulário e escolher o código “21 – Veículo automotor terrestre”. No campo “Discriminação”, o contribuinte deverá… Leia mais",2018-03-16 11:06:05,"veiculo, imposto, renda, declaracao, fazer, novidad, saiba, acessar, atento, automotor, basta, campo, codigo, contribuint, dado, declarar, deve, devera, direitosâ€, escolh, esquec, ficar, ficha, fisica, formulario, informar, motorizado, obrigado, pessoa, possui, problema, ter, terrestreâ€, valor, â€œ, â€œben, â€œdiscriminacaoâ€, noticia, voce"
"Dia do Consumidor: aprenda 10 formas de pedir descontos em suas compras","http://www.dsop.com.br/para-voce/noticias/2018/03/dia-do-consumidor-descontos/","No dia 15 de março é comemorado no mundo todo o Dia do Consumidor, momento de reflexão de nosso papel na luta de conquistar as melhores condições de compras. E um dos caminhos para isso é aprender a pedir descontos, ou em termo popular, “pechinchar”. “Hoje observo que grande parte dos brasileiros ainda apresentam vergonha… Leia mais",2018-03-15 09:04:45,"dia, compra, consumidor, desconto, pedir"
"Maioria da população tem dívidas no cartão de crédito – veja como agir!","http://www.dsop.com.br/para-voce/noticias/2018/03/dividas-cartao-de-credito/","Segundo dados de uma pesquisa da Confederação Nacional do Comércio de Bens, Serviços e Turismo (CNC), no mês de fevereiro 77% das famílias endividadas disseram que possuem contas para pagar no cartão de crédito. Os números são assustadores e, por isso, a pergunta que fica é: o cartão de crédito é mesmo o vilão das… Leia mais",2018-03-12 08:45:41,"cartao, credito, agir, divida, maioria, populacao, veja, assustador, ben, cnc, comercio, confederacao, conta, dado, disseram, endividada, familia, fevereiro, fica, leia, mes, nacion, numero, pagar, pergunta, pesquisa, possuem, sao, segundo, servico, turismo, vilao, noticia, voce"
"Desemprego atinge 12% da população: veja 10 passos para organizar as finanças","http://www.dsop.com.br/para-voce/noticias/2018/03/desemprego-organizar-financas/","Com 12,7 milhões de brasileiros em condição de desemprego, número equivalente a 12% da população (dados do IBGE), é imprescindível falar sobre como agir frente a essa situação. Se para quem está empregado existe o medo, para quem perde o emprego a situação é praticamente de desespero. O PhD em Educação Financeira Reinaldo Domingos, do… Leia mais",2018-03-02 10:32:54,"desemprego, populacao, situacao, ating, financa, organizar, passo, veja, agir, brasileiro, condicao, dado, desespero, domingo, educacao, empregado, emprego, equivalent, exist, falar, financeira, frent, ibg, imprescindivel, leia, medo, milho, numero, perd, phd, praticament, reinaldo, sobr, noticia, voce"
"Imposto de Renda 2018 – veja quem é obrigado a entregar","http://www.dsop.com.br/para-voce/noticias/2018/02/imposto-de-renda-2018/","A Receita Federal deve disponibilizar no dia 23 de fevereiro para download o programa gerador do Imposto de Renda 2018, referente ao ano-base 2017. Com isso os contribuintes já poderá preencher suas declarações. Neste ano, o prazo de entrega começa no dia 2 de março e vai até o final do mês de abril. Para… Leia mais",2018-02-21 16:23:50,"imposto, renda, dia, entregar, obrigado, veja, abril, ano, anobas, ate, comeca, contribuint, declaraco, deve, disponibilizar, download, entrega, feder, fevereiro, final, gerador, leia, marco, mes, nest, podera, prazo, preencher, programa, receita, referent, vai, noticia, voce"
"Ressaca financeira: 5 dicas para sair das dívidas após o Carnaval","http://www.dsop.com.br/para-voce/noticias/2018/02/ressaca-financeira-carnaval/","Quando uma festa acaba, fica a bagunça. Assim também é na vida financeira; o Carnaval terminou e, agora, muitas pessoas percebem a faxina financeira que deverão fazer para colocar as finanças em ordem. É chamada ressaca financeira. Isso é reflexo da falta de educação financeira da população como um todo, que, ao invés de se… Leia mais",2018-02-16 15:43:09,"financeira, carnav, ressaca, apo, dica, divida, sair, acaba, agora, assim, bagunca, chamada, colocar, deverao, educacao, falta, faxina, fazer, festa, fica, financa, inv, leia, muita, ordem, percebem, pessoa, populacao, reflexo, tambem, terminou, todo, vida, noticia, voce"
